stage_index,stage,machines,units_per_machine_minute,quality,target_availability,p_major_per_running_min,mean_major_min,p_minor_per_running_min,mean_minor_min
1,Raw Material Preparation,2,26.08090909090909,0.997,0.9168,0.0004544793484584061,44.8,0.008798720186154747,8.0
2,Mixing,2,21.64153846153846,0.988,0.8873,0.0007278635561065404,56.7,0.010718084357038207,8.0
3,Processing,2,23.715,0.992,0.9067,0.0006203816036175142,51.0,0.008907645858608145,8.0
4,Filling,3,13.455,0.9752,0.8293,0.0012309578359258812,56.4,0.017051278186422276,8.0
5,Packaging,3,16.39764705882353,0.9848,0.754,0.0017959770114942528,42.2,0.03130871463306808,8.0
6,Quality Inspection,2,23.963478260869568,0.999,0.926,0.00031497480201583876,54.3,0.007851309395248375,8.0
7,Dispatch,2,28.143,0.999,0.9421,0.00024325089339419028,53.2,0.006064687046668783,8.0
