stage,running,stopped,measured_downtime_pct,starved,blocked,waiting_on_others_pct,limited_by
Raw Material Preparation,61.418677905519075,8.539351851851851,8.32,0.0,30.041970242600115,30.04,downstream (blocked)
Mixing,73.78929921788479,11.794560185185185,11.27,0.49625407983752834,13.919886517117478,14.42,downstream (blocked)
Processing,66.51852709078891,9.598958333333334,9.33,3.6656061326786853,20.21690844319057,23.88,downstream (blocked)
Filling,77.51847315116908,18.165123456790123,17.07,1.780019770321719,2.536383621722256,4.32,itself (near-constraint)
Packaging,62.02479954709367,26.192901234567902,24.6,11.217300630981937,0.5649985873441038,11.78,upstream (starved)
Quality Inspection,62.69471675044348,8.30787037037037,7.4,28.853888558024632,0.14352432111621455,29.0,upstream (starved)
Dispatch,53.32986628466496,5.99537037037037,5.79,40.674763344968284,0.0,40.67,upstream (starved)
